bucket,category,bucket_count,test_class,test_method,params,error_summary,full_test_id
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 10:20:30') > TIME('10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 10:20:30') > TIME('10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 10:20:30') >= TIME('10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 10:20:30') >= TIME('10:20:30') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 20:50:42') < TIME('10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 20:50:42') < TIME('10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 20:50:42') <= TIME('10:20:30') => false},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 20:50:42') <= TIME('10:20:30') => false}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 20:50:42') > TIME('10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 20:50:42') > TIME('10:20:30') => true}
1,Stability,72,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT,testCompare,{TIMESTAMP('2026-06-08 20:50:42') >= TIME('10:20:30') => true},IllegalArgumentException — Unable to convert call to_timestamp(precision_time<9>?).,org.opensearch.sql.calcite.remote.CalciteDateTimeComparisonIT.testCompare {TIMESTAMP('2026-06-08 20:50:42') >= TIME('10:20:30') => true}
2,Correctness,64,org.opensearch.sql.calcite.remote.CalciteChartCommandIT,testChartMaxValueByTimestampSpanDayAndWeek,,AssertionError — java.lang.AssertionError:,org.opensearch.sql.calcite.remote.CalciteChartCommandIT.testChartMaxValueByTimestampSpanDayAndWeek
2,Correctness,64,org.opensearch.sql.calcite.remote.CalciteDataTypeIT,testNumericFieldFromString,,AssertionError — java.lang.AssertionError:,org.opensearch.sql.calcite.remote.CalciteDataTypeIT.testNumericFieldFromString
2,Correctness,64,org.opensearch.sql.calcite.remote.CalciteDateTimeFunctionIT,testAddDateWithInterval,,AssertionError — java.lang.AssertionError:,org.opensearch.sql.calcite.remote.CalciteDateTimeFunctionIT.testAddDateWithInterval
2,Correctness,64,org.opensearch.sql.calcite.remote.CalciteDateTimeFunctionIT,testDateAdd,,AssertionError — java.lang.AssertionError:,org.opensearch.sql.calcite.remote.CalciteDateTimeFunctionIT.testDateAdd
2,Correctness,64,org.opensearch.sql.calcite.remote.CalciteDateTimeFunctionIT,testDateFormat,,AssertionError — java.lang.AssertionError:,org.opensearch.sql.calcite.remote.CalciteDateTimeFunctionIT.testDateFormat
